PairID,Pred_Score
ENG-train-0191,0.00
ENG-train-0192,0.18
ENG-train-0193,0.40
ENG-train-0194,0.38
ENG-train-0195,0.40
ENG-train-0196,0.71
ENG-train-0197,0.09
ENG-train-0198,0.67
ENG-train-0199,0.31
ENG-train-0200,0.83
ENG-train-0201,0.20
ENG-train-0202,0.75
ENG-train-0203,0.19
ENG-train-0204,0.17
ENG-train-0205,0.19
ENG-train-0206,0.25
ENG-train-0207,0.33
ENG-train-0208,0.14
ENG-train-0209,0.33
ENG-train-0210,0.25
ENG-train-0211,0.25
ENG-train-0212,0.43
ENG-train-0213,0.07
ENG-train-0214,0.29
ENG-train-0215,0.57
ENG-train-0216,0.43
ENG-train-0217,0.10
ENG-train-0218,0.10
ENG-train-0219,0.20
ENG-train-0220,0.29
ENG-train-0221,0.47
ENG-train-0222,0.44
ENG-train-0223,0.27
ENG-train-0224,0.50
ENG-train-0225,0.10
ENG-train-0226,0.31
ENG-train-0227,0.70
ENG-train-0228,0.06
ENG-train-0229,0.17
ENG-train-0230,0.60
ENG-train-0231,0.14
ENG-train-0232,0.62
ENG-train-0233,1.00
ENG-train-0234,0.57
ENG-train-0235,0.33
ENG-train-0236,0.12
ENG-train-0237,0.14
ENG-train-0238,0.08
ENG-train-0239,0.12
ENG-train-0240,0.67
ENG-train-0241,0.50
ENG-train-0242,0.50
ENG-train-0243,0.00
ENG-train-0244,0.22
ENG-train-0245,0.22
ENG-train-0246,0.12
ENG-train-0247,0.50
ENG-train-0248,0.20
ENG-train-0249,0.45
ENG-train-0250,0.00
ENG-train-0251,1.00
ENG-train-0252,0.50
ENG-train-0253,0.33
ENG-train-0254,0.45
ENG-train-0255,0.43
ENG-train-0256,0.00
ENG-train-0257,0.18
ENG-train-0258,0.40
ENG-train-0259,0.44
ENG-train-0260,0.27
ENG-train-0261,0.50
ENG-train-0262,0.06
ENG-train-0263,0.17
ENG-train-0264,0.40
ENG-train-0265,0.52
ENG-train-0266,0.21
ENG-train-0267,0.38
ENG-train-0268,0.80
ENG-train-0269,0.25
ENG-train-0270,0.39
ENG-train-0271,0.44
ENG-train-0272,0.29
ENG-train-0273,0.43
ENG-train-0274,0.67
ENG-train-0275,0.11
ENG-train-0276,0.33
ENG-train-0277,0.29
ENG-train-0278,0.62
ENG-train-0279,0.35
ENG-train-0280,0.40
ENG-train-0281,0.20
ENG-train-0282,0.50
ENG-train-0283,0.25
ENG-train-0284,0.10
ENG-train-0285,0.75
ENG-train-0286,0.42
ENG-train-0287,0.40
ENG-train-0288,0.33
ENG-train-0289,0.47
ENG-train-0290,0.27
ENG-train-0291,0.56
ENG-train-0292,1.00
ENG-train-0293,0.22
ENG-train-0294,0.50
ENG-train-0295,0.31
ENG-train-0296,0.40
ENG-train-0297,0.18
ENG-train-0298,0.33
ENG-train-0299,0.07
ENG-train-0300,0.08
ENG-train-0301,0.47
ENG-train-0302,0.17
ENG-train-0303,0.11
ENG-train-0304,0.80
ENG-train-0305,0.28
ENG-train-0306,0.27
ENG-train-0307,0.67
ENG-train-0308,0.25
ENG-train-0309,0.00
ENG-train-0310,0.14
ENG-train-0311,0.38
ENG-train-0312,0.00
ENG-train-0313,0.75
ENG-train-0314,0.21
ENG-train-0315,0.22
ENG-train-0316,0.00
ENG-train-0317,0.50
ENG-train-0318,0.25
ENG-train-0319,0.33
ENG-train-0320,0.33
ENG-train-0321,0.33
ENG-train-0322,0.17
ENG-train-0323,0.25
ENG-train-0324,0.25
ENG-train-0325,0.54
ENG-train-0326,0.62
ENG-train-0327,0.22
ENG-train-0328,0.50
ENG-train-0329,0.40
ENG-train-0330,0.12
ENG-train-0331,0.39
ENG-train-0332,0.00
ENG-train-0333,0.14
ENG-train-0334,0.86
ENG-train-0335,0.43
ENG-train-0336,0.50
ENG-train-0337,0.29
ENG-train-0338,0.18
ENG-train-0339,0.44
ENG-train-0340,0.17
ENG-train-0341,0.25
ENG-train-0342,0.20
ENG-train-0343,0.62
ENG-train-0344,0.39
ENG-train-0345,0.70
ENG-train-0346,0.33
ENG-train-0347,0.44
ENG-train-0348,0.50
ENG-train-0349,0.29
ENG-train-0350,0.38
ENG-train-0351,0.43
ENG-train-0352,0.40
ENG-train-0353,0.14
ENG-train-0354,0.00
ENG-train-0355,0.30
ENG-train-0356,0.25
ENG-train-0357,0.10
ENG-train-0358,0.15
ENG-train-0359,0.50
ENG-train-0360,0.27
ENG-train-0361,0.36
ENG-train-0362,0.25
ENG-train-0363,0.27
ENG-train-0364,0.50
ENG-train-0365,0.27
ENG-train-0366,0.18
ENG-train-0367,0.29
ENG-train-0368,0.42
ENG-train-0369,0.22
ENG-train-0370,0.33
ENG-train-0371,0.29
ENG-train-0372,0.29
ENG-train-0373,0.43
ENG-train-0374,0.33
ENG-train-0375,0.29
ENG-train-0376,0.67
ENG-train-0377,0.30
ENG-train-0378,0.33
ENG-train-0379,0.10
ENG-train-0380,0.40
ENG-train-0381,0.14
ENG-train-0382,0.29
ENG-train-0383,0.33
ENG-train-0384,0.30
ENG-train-0385,0.50
ENG-train-0386,0.67
ENG-train-0387,0.50
ENG-train-0388,0.33
ENG-train-0389,0.33
ENG-train-0390,0.67
ENG-train-0391,0.54
ENG-train-0392,0.53
ENG-train-0393,0.15
ENG-train-0394,0.25
ENG-train-0395,0.27
ENG-train-0396,0.18
ENG-train-0397,0.27
ENG-train-0398,0.12
ENG-train-0399,0.31
ENG-train-0400,0.43
ENG-train-0401,0.50
ENG-train-0402,0.11
ENG-train-0403,0.46
ENG-train-0404,0.64
ENG-train-0405,0.57
ENG-train-0406,0.73
ENG-train-0407,0.80
ENG-train-0408,0.71
ENG-train-0409,0.56
ENG-train-0410,0.36
ENG-train-0411,0.14
ENG-train-0412,0.43
ENG-train-0413,0.75
ENG-train-0414,0.00
ENG-train-0415,0.67
ENG-train-0416,0.40
ENG-train-0417,0.09
ENG-train-0418,0.30
ENG-train-0419,0.36
ENG-train-0420,0.62
ENG-train-0421,0.18
ENG-train-0422,0.44
ENG-train-0423,0.29
ENG-train-0424,0.20
ENG-train-0425,0.18
ENG-train-0426,0.12
ENG-train-0427,0.40
ENG-train-0428,0.20
ENG-train-0429,0.20
ENG-train-0430,0.14
ENG-train-0431,0.00
ENG-train-0432,0.36
ENG-train-0433,0.38
ENG-train-0434,0.09
ENG-train-0435,0.25
ENG-train-0436,0.00
ENG-train-0437,0.08
ENG-train-0438,0.38
ENG-train-0439,0.67
ENG-train-0440,0.37
ENG-train-0441,0.20
ENG-train-0442,1.00
ENG-train-0443,0.50
ENG-train-0444,0.53
ENG-train-0445,0.33
ENG-train-0446,0.20
ENG-train-0447,0.18
ENG-train-0448,0.30
ENG-train-0449,0.20
ENG-train-0450,0.25
ENG-train-0451,0.27
ENG-train-0452,0.33
ENG-train-0453,0.33
ENG-train-0454,0.00
ENG-train-0455,0.73
ENG-train-0456,0.29
ENG-train-0457,0.67
ENG-train-0458,0.44
ENG-train-0459,0.21
ENG-train-0460,0.29
ENG-train-0461,0.57
ENG-train-0462,0.20
ENG-train-0463,0.57
ENG-train-0464,0.57
ENG-train-0465,0.57
ENG-train-0466,0.17
ENG-train-0467,0.18
ENG-train-0468,0.25
ENG-train-0469,0.38
ENG-train-0470,0.30
ENG-train-0471,0.00
ENG-train-0472,0.29
ENG-train-0473,0.14
ENG-train-0474,0.29
ENG-train-0475,0.00
ENG-train-0476,0.33
ENG-train-0477,0.29
ENG-train-0478,0.29
ENG-train-0479,0.25
ENG-train-0480,0.25
ENG-train-0481,0.30
ENG-train-0482,0.14
ENG-train-0483,0.11
ENG-train-0484,0.42
ENG-train-0485,0.27
ENG-train-0486,0.33
ENG-train-0487,0.24
ENG-train-0488,0.75
ENG-train-0489,0.50
ENG-train-0490,0.58
ENG-train-0491,0.40
ENG-train-0492,0.06
ENG-train-0493,0.50
ENG-train-0494,0.44
ENG-train-0495,0.00
ENG-train-0496,0.27
ENG-train-0497,0.26
ENG-train-0498,0.50
ENG-train-0499,0.27
ENG-train-0500,0.43
ENG-train-0501,0.50
ENG-train-0502,0.14
ENG-train-0503,0.13
ENG-train-0504,0.29
ENG-train-0505,0.29
ENG-train-0506,0.06
ENG-train-0507,0.50
ENG-train-0508,0.57
ENG-train-0509,0.29
ENG-train-0510,0.22
ENG-train-0511,0.35
ENG-train-0512,0.17
ENG-train-0513,0.20
ENG-train-0514,0.14
ENG-train-0515,0.09
ENG-train-0516,0.20
ENG-train-0517,0.44
ENG-train-0518,0.33
ENG-train-0519,0.30
ENG-train-0520,0.25
ENG-train-0521,0.75
ENG-train-0522,0.32
ENG-train-0523,0.11
ENG-train-0524,0.00
ENG-train-0525,0.33
ENG-train-0526,0.30
ENG-train-0527,0.14
ENG-train-0528,0.12
ENG-train-0529,0.20
ENG-train-0530,0.50
ENG-train-0531,0.50
ENG-train-0532,0.33
ENG-train-0533,0.12
ENG-train-0534,0.21
ENG-train-0535,0.21
ENG-train-0536,0.17
ENG-train-0537,0.29
ENG-train-0538,0.09
ENG-train-0539,0.33
ENG-train-0540,0.29
ENG-train-0541,0.31
ENG-train-0542,0.39
ENG-train-0543,0.36
ENG-train-0544,0.18
ENG-train-0545,0.33
ENG-train-0546,0.50
ENG-train-0547,0.20
ENG-train-0548,0.00
ENG-train-0549,0.11
ENG-train-0550,0.14
ENG-train-0551,0.10
ENG-train-0552,0.78
ENG-train-0553,0.25
ENG-train-0554,0.14
ENG-train-0555,0.20
ENG-train-0556,0.33
ENG-train-0557,0.36
ENG-train-0558,0.00
ENG-train-0559,0.00
ENG-train-0560,0.67
ENG-train-0561,0.42
ENG-train-0562,0.08
ENG-train-0563,0.50
ENG-train-0564,0.38
ENG-train-0565,0.71
ENG-train-0566,0.20
ENG-train-0567,0.15
ENG-train-0568,0.27
ENG-train-0569,0.25
ENG-train-0570,0.06
ENG-train-0571,0.25
ENG-train-0572,0.14
ENG-train-0573,0.22
ENG-train-0574,0.56
ENG-train-0575,0.33
ENG-train-0576,0.12
ENG-train-0577,0.44
ENG-train-0578,0.25
ENG-train-0579,0.28
ENG-train-0580,0.28
ENG-train-0581,0.17
ENG-train-0582,0.75
ENG-train-0583,0.29
ENG-train-0584,0.36
ENG-train-0585,0.27
ENG-train-0586,0.29
ENG-train-0587,0.07
ENG-train-0588,0.42
ENG-train-0589,0.29
ENG-train-0590,0.00
ENG-train-0591,0.10
ENG-train-0592,0.25
ENG-train-0593,0.31
ENG-train-0594,0.31
ENG-train-0595,0.06
ENG-train-0596,0.56
ENG-train-0597,0.36
ENG-train-0598,0.62
ENG-train-0599,0.36
ENG-train-0600,0.19
ENG-train-0601,0.14
ENG-train-0602,0.11
ENG-train-0603,0.64
ENG-train-0604,0.21
ENG-train-0605,0.50
ENG-train-0606,0.36
ENG-train-0607,0.42
ENG-train-0608,0.40
ENG-train-0609,0.18
ENG-train-0610,0.80
ENG-train-0611,0.20
ENG-train-0612,0.05
ENG-train-0613,0.33
ENG-train-0614,0.44
ENG-train-0615,0.00
ENG-train-0616,0.09
ENG-train-0617,0.29
ENG-train-0618,0.60
ENG-train-0619,0.50
ENG-train-0620,0.38
ENG-train-0621,0.28
ENG-train-0622,0.83
ENG-train-0623,0.38
ENG-train-0624,0.00
ENG-train-0625,0.09
ENG-train-0626,0.25
ENG-train-0627,0.24
ENG-train-0628,0.00
ENG-train-0629,0.40
ENG-train-0630,0.33
ENG-train-0631,0.12
ENG-train-0632,0.22
ENG-train-0633,0.60
ENG-train-0634,0.33
ENG-train-0635,0.18
ENG-train-0636,0.50
ENG-train-0637,0.24
ENG-train-0638,0.14
ENG-train-0639,0.22
ENG-train-0640,0.39
ENG-train-0641,0.47
ENG-train-0642,0.11
ENG-train-0643,0.11
ENG-train-0644,0.20
ENG-train-0645,0.21
ENG-train-0646,0.36
ENG-train-0647,0.27
ENG-train-0648,0.29
ENG-train-0649,0.45
ENG-train-0650,0.17
ENG-train-0651,0.00
ENG-train-0652,0.12
ENG-train-0653,0.25
ENG-train-0654,0.50
ENG-train-0655,0.10
ENG-train-0656,0.40
ENG-train-0657,0.11
ENG-train-0658,0.11
ENG-train-0659,0.14
ENG-train-0660,0.17
ENG-train-0661,0.11
ENG-train-0662,0.14
ENG-train-0663,0.35
ENG-train-0664,0.12
ENG-train-0665,0.43
ENG-train-0666,0.33
ENG-train-0667,0.29
ENG-train-0668,0.11
ENG-train-0669,0.20
ENG-train-0670,0.50
ENG-train-0671,0.44
ENG-train-0672,0.31
ENG-train-0673,0.00
ENG-train-0674,0.71
ENG-train-0675,0.33
ENG-train-0676,0.44
ENG-train-0677,0.08
ENG-train-0678,0.33
ENG-train-0679,0.12
ENG-train-0680,0.38
ENG-train-0681,0.43
ENG-train-0682,0.14
ENG-train-0683,0.33
ENG-train-0684,0.11
ENG-train-0685,0.43
ENG-train-0686,0.08
ENG-train-0687,0.22
ENG-train-0688,0.18
ENG-train-0689,0.14
ENG-train-0690,0.70
ENG-train-0691,0.12
ENG-train-0692,0.15
ENG-train-0693,0.57
ENG-train-0694,0.21
ENG-train-0695,0.22
ENG-train-0696,0.10
ENG-train-0697,0.15
ENG-train-0698,0.10
ENG-train-0699,0.25
ENG-train-0700,0.12
ENG-train-0701,0.47
ENG-train-0702,0.17
ENG-train-0703,0.57
ENG-train-0704,0.29
ENG-train-0705,0.25
ENG-train-0706,0.45
ENG-train-0707,0.17
ENG-train-0708,0.22
ENG-train-0709,0.45
ENG-train-0710,0.36
ENG-train-0711,0.29
ENG-train-0712,0.17
ENG-train-0713,0.40
ENG-train-0714,0.00
ENG-train-0715,0.33
ENG-train-0716,0.22
ENG-train-0717,0.31
ENG-train-0718,0.00
ENG-train-0719,0.27
ENG-train-0720,0.06
ENG-train-0721,0.28
ENG-train-0722,0.40
ENG-train-0723,0.14
ENG-train-0724,0.12
ENG-train-0725,0.11
ENG-train-0726,0.36
ENG-train-0727,0.20
ENG-train-0728,0.12
ENG-train-0729,0.12
ENG-train-0730,0.11
ENG-train-0731,0.38
ENG-train-0732,0.30
ENG-train-0733,0.38
ENG-train-0734,0.38
ENG-train-0735,0.43
ENG-train-0736,0.25
ENG-train-0737,0.29
ENG-train-0738,0.67
ENG-train-0739,0.50
ENG-train-0740,0.50
ENG-train-0741,0.20
ENG-train-0742,0.31
ENG-train-0743,0.09
ENG-train-0744,0.56
ENG-train-0745,0.18
ENG-train-0746,0.11
ENG-train-0747,0.20
ENG-train-0748,0.08
ENG-train-0749,0.25
ENG-train-0750,0.50
ENG-train-0751,0.14
ENG-train-0752,0.39
ENG-train-0753,0.16
ENG-train-0754,0.20
ENG-train-0755,0.27
ENG-train-0756,0.50
ENG-train-0757,0.08
ENG-train-0758,0.33
ENG-train-0759,0.15
ENG-train-0760,0.25
ENG-train-0761,0.20
ENG-train-0762,0.29
ENG-train-0763,0.33
ENG-train-0764,0.00
ENG-train-0765,0.33
ENG-train-0766,0.14
ENG-train-0767,0.27
ENG-train-0768,0.29
ENG-train-0769,0.21
ENG-train-0770,0.55
ENG-train-0771,0.25
ENG-train-0772,0.00
ENG-train-0773,0.20
ENG-train-0774,0.62
ENG-train-0775,0.43
ENG-train-0776,0.22
ENG-train-0777,0.24
ENG-train-0778,0.00
ENG-train-0779,0.75
ENG-train-0780,0.40
ENG-train-0781,0.17
ENG-train-0782,0.10
ENG-train-0783,0.16
ENG-train-0784,0.21
ENG-train-0785,0.50
ENG-train-0786,0.11
ENG-train-0787,0.43
ENG-train-0788,0.25
ENG-train-0789,0.22
ENG-train-0790,0.44
ENG-train-0791,0.67
ENG-train-0792,0.14
ENG-train-0793,0.43
ENG-train-0794,0.33
ENG-train-0795,0.12
ENG-train-0796,0.38
ENG-train-0797,0.14
ENG-train-0798,0.25
ENG-train-0799,0.00
ENG-train-0800,0.22
ENG-train-0801,0.45
ENG-train-0802,0.42
ENG-train-0803,0.29
ENG-train-0804,0.53
ENG-train-0805,0.14
ENG-train-0806,0.12
ENG-train-0807,0.36
ENG-train-0808,0.00
ENG-train-0809,0.50
ENG-train-0810,0.20
ENG-train-0811,0.00
ENG-train-0812,0.16
ENG-train-0813,0.25
ENG-train-0814,0.20
ENG-train-0815,0.12
ENG-train-0816,0.00
ENG-train-0817,0.36
ENG-train-0818,0.22
ENG-train-0819,0.33
ENG-train-0820,0.00
ENG-train-0821,0.06
ENG-train-0822,0.43
ENG-train-0823,0.17
ENG-train-0824,0.00
ENG-train-0825,0.08
ENG-train-0826,0.14
ENG-train-0827,0.25
ENG-train-0828,0.33
ENG-train-0829,0.14
ENG-train-0830,0.25
ENG-train-0831,0.30
ENG-train-0832,0.50
ENG-train-0833,0.10
ENG-train-0834,0.25
ENG-train-0835,0.44
ENG-train-0836,0.42
ENG-train-0837,0.17
ENG-train-0838,0.09
ENG-train-0839,0.25
ENG-train-0840,0.20
ENG-train-0841,0.60
ENG-train-0842,0.62
ENG-train-0843,0.44
ENG-train-0844,0.35
ENG-train-0845,0.18
ENG-train-0846,0.50
ENG-train-0847,0.12
ENG-train-0848,0.29
ENG-train-0849,0.38
ENG-train-0850,0.10
ENG-train-0851,0.19
ENG-train-0852,0.40
ENG-train-0853,0.15
ENG-train-0854,0.38
ENG-train-0855,0.00
ENG-train-0856,0.43
ENG-train-0857,0.25
ENG-train-0858,0.30
ENG-train-0859,0.50
ENG-train-0860,0.21
ENG-train-0861,0.27
ENG-train-0862,0.75
ENG-train-0863,0.64
ENG-train-0864,0.33
ENG-train-0865,0.57
ENG-train-0866,0.31
ENG-train-0867,0.43
ENG-train-0868,0.13
ENG-train-0869,0.31
ENG-train-0870,0.25
ENG-train-0871,0.29
ENG-train-0872,0.27
ENG-train-0873,0.29
ENG-train-0874,0.65
ENG-train-0875,0.38
ENG-train-0876,0.24
ENG-train-0877,0.72
ENG-train-0878,0.33
ENG-train-0879,0.20
ENG-train-0880,0.09
ENG-train-0881,0.20
ENG-train-0882,0.57
ENG-train-0883,0.20
ENG-train-0884,0.20
ENG-train-0885,0.20
ENG-train-0886,0.27
ENG-train-0887,0.20
ENG-train-0888,0.29
ENG-train-0889,0.67
ENG-train-0890,0.75
ENG-train-0891,0.31
ENG-train-0892,0.13
ENG-train-0893,0.67
ENG-train-0894,0.38
ENG-train-0895,0.23
ENG-train-0896,0.17
ENG-train-0897,0.25
ENG-train-0898,0.12
ENG-train-0899,0.33
ENG-train-0900,0.64
ENG-train-0901,0.17
ENG-train-0902,0.33
ENG-train-0903,0.42
ENG-train-0904,0.07
ENG-train-0905,0.20
ENG-train-0906,0.26
ENG-train-0907,0.23
ENG-train-0908,0.33
ENG-train-0909,0.27
ENG-train-0910,0.25
ENG-train-0911,0.12
ENG-train-0912,0.12
ENG-train-0913,0.50
ENG-train-0914,0.00
ENG-train-0915,0.18
ENG-train-0916,0.40
ENG-train-0917,0.15
ENG-train-0918,0.33
ENG-train-0919,0.33
ENG-train-0920,0.44
ENG-train-0921,0.39
ENG-train-0922,0.50
ENG-train-0923,0.20
ENG-train-0924,0.10
ENG-train-0925,0.50
ENG-train-0926,0.29
ENG-train-0927,0.25
ENG-train-0928,0.38
ENG-train-0929,0.33
ENG-train-0930,0.38
ENG-train-0931,0.10
ENG-train-0932,0.22
ENG-train-0933,0.29
ENG-train-0934,0.11
ENG-train-0935,0.12
ENG-train-0936,0.27
ENG-train-0937,0.43
ENG-train-0938,0.12
ENG-train-0939,0.29
ENG-train-0940,0.08
ENG-train-0941,0.11
ENG-train-0942,0.30
ENG-train-0943,0.18
ENG-train-0944,0.14
ENG-train-0945,0.12
ENG-train-0946,0.20
ENG-train-0947,0.10
ENG-train-0948,0.18
ENG-train-0949,0.18
ENG-train-0950,0.33
ENG-train-0951,0.31
ENG-train-0952,0.30
ENG-train-0953,0.18
ENG-train-0954,0.07
ENG-train-0955,0.10
ENG-train-0956,0.57
ENG-train-0957,0.39
ENG-train-0958,0.29
ENG-train-0959,0.15
ENG-train-0960,0.36
ENG-train-0961,0.80
ENG-train-0962,0.44
ENG-train-0963,0.20
ENG-train-0964,0.22
ENG-train-0965,0.29
ENG-train-0966,0.67
ENG-train-0967,0.14
ENG-train-0968,0.36
ENG-train-0969,0.20
ENG-train-0970,0.75
ENG-train-0971,0.22
ENG-train-0972,0.17
ENG-train-0973,0.50
ENG-train-0974,0.29
ENG-train-0975,0.11
ENG-train-0976,0.31
ENG-train-0977,0.30
ENG-train-0978,0.08
ENG-train-0979,0.17
ENG-train-0980,0.21
ENG-train-0981,0.25
ENG-train-0982,0.29
ENG-train-0983,0.38
ENG-train-0984,0.36
ENG-train-0985,0.18
ENG-train-0986,0.38
ENG-train-0987,0.38
ENG-train-0988,0.37
ENG-train-0989,0.58
ENG-train-0990,0.25
ENG-train-0991,0.36
ENG-train-0992,0.13
ENG-train-0993,0.17
ENG-train-0994,0.08
ENG-train-0995,0.40
ENG-train-0996,0.50
ENG-train-0997,0.33
ENG-train-0998,0.57
ENG-train-0999,0.20
ENG-train-1000,0.25
ENG-train-1001,0.18
ENG-train-1002,0.43
ENG-train-1003,0.20
ENG-train-1004,0.07
ENG-train-1005,0.14
ENG-train-1006,0.00
ENG-train-1007,0.17
ENG-train-1008,0.12
ENG-train-1009,0.00
ENG-train-1010,0.10
ENG-train-1011,0.06
ENG-train-1012,0.10
ENG-train-1013,0.18
ENG-train-1014,0.43
ENG-train-1015,0.38
ENG-train-1016,0.42
ENG-train-1017,0.22
ENG-train-1018,0.08
ENG-train-1019,0.27
ENG-train-1020,0.12
ENG-train-1021,0.25
ENG-train-1022,0.32
ENG-train-1023,0.33
ENG-train-1024,0.17
ENG-train-1025,0.14
ENG-train-1026,0.08
ENG-train-1027,0.29
ENG-train-1028,0.17
ENG-train-1029,0.50
ENG-train-1030,0.10
ENG-train-1031,0.10
ENG-train-1032,0.06
ENG-train-1033,0.14
ENG-train-1034,0.21
ENG-train-1035,0.31
ENG-train-1036,0.22
ENG-train-1037,0.50
ENG-train-1038,0.00
ENG-train-1039,0.29
ENG-train-1040,0.22
ENG-train-1041,0.60
ENG-train-1042,0.45
ENG-train-1043,0.25
ENG-train-1044,0.27
ENG-train-1045,0.38
ENG-train-1046,0.11
ENG-train-1047,0.31
ENG-train-1048,0.44
ENG-train-1049,0.50
ENG-train-1050,0.17
ENG-train-1051,0.28
ENG-train-1052,1.00
ENG-train-1053,0.27
ENG-train-1054,0.20
ENG-train-1055,0.38
ENG-train-1056,0.26
ENG-train-1057,0.42
ENG-train-1058,0.46
ENG-train-1059,0.67
ENG-train-1060,0.33
ENG-train-1061,0.11
ENG-train-1062,0.30
ENG-train-1063,0.17
ENG-train-1064,0.30
ENG-train-1065,0.38
ENG-train-1066,0.41
ENG-train-1067,0.20
ENG-train-1068,0.10
ENG-train-1069,0.17
ENG-train-1070,0.29
ENG-train-1071,0.30
ENG-train-1072,0.20
ENG-train-1073,0.40
ENG-train-1074,0.10
